image,dataset,policy,verifier,prompt,N_gt,N_obs,N_supp,N_cons,precision,recall,f1,pool_recall,per_pass_pool_recall,cost,n_actions,seconds
carpk_00076,carpk,vlm,ioc+iom_only+ftile,car,52,15,15,15,,,,,,9.95,4,12.373
carpk_00077,carpk,vlm,ioc+iom_only+ftile,car,142,7,7,7,,,,,,3.95,4,8.546
carpk_00078,carpk,vlm,ioc+iom_only+ftile,car,103,108,94,106,,,,,,8.95,4,10.988
carpk_00079,carpk,vlm,ioc+iom_only+ftile,car,121,123,103,123,,,,,,8.95,4,11.964
carpk_00080,carpk,vlm,ioc+iom_only+ftile,car,121,140,126,138,,,,,,8.95,4,10.934
carpk_00081,carpk,vlm,ioc+iom_only+ftile,car,106,1,1,1,,,,,,7.15,3,8.894
carpk_00082,carpk,vlm,ioc+iom_only+ftile,car,112,52,40,52,,,,,,11.2,4,12.538
carpk_00083,carpk,vlm,ioc+iom_only+ftile,car,112,128,114,123,,,,,,8.95,4,10.746
carpk_00084,carpk,vlm,ioc+iom_only+ftile,car,119,12,12,11,,,,,,7.7,4,10.873
carpk_00085,carpk,vlm,ioc+iom_only+ftile,car,54,33,29,32,,,,,,8.2,4,10.293
carpk_00086,carpk,vlm,ioc+iom_only+ftile,car,51,46,40,46,,,,,,8.2,4,10.403
carpk_00087,carpk,vlm,ioc+iom_only+ftile,car,6,6,6,6,,,,,,8.95,4,10.766
carpk_00088,carpk,vlm,ioc+iom_only+ftile,car,156,162,137,159,,,,,,8.95,4,10.547
carpk_00089,carpk,vlm,ioc+iom_only+ftile,car,8,9,9,9,,,,,,8.95,4,10.764
carpk_00090,carpk,vlm,ioc+iom_only+ftile,car,146,151,120,151,,,,,,8.95,4,10.997
carpk_00091,carpk,vlm,ioc+iom_only+ftile,car,116,16,14,15,,,,,,7.2,4,9.684
carpk_00092,carpk,vlm,ioc+iom_only+ftile,car,118,120,108,118,,,,,,8.95,4,10.994
carpk_00093,carpk,vlm,ioc+iom_only+ftile,car,111,120,112,118,,,,,,8.95,4,10.948
carpk_00094,carpk,vlm,ioc+iom_only+ftile,car,121,131,116,130,,,,,,8.95,4,10.791
carpk_00095,carpk,vlm,ioc+iom_only+ftile,car,86,4,4,4,,,,,,7.45,4,9.286
carpk_00096,carpk,vlm,ioc+iom_only+ftile,car,6,6,6,6,,,,,,8.95,4,10.798
carpk_00097,carpk,vlm,ioc+iom_only+ftile,car,109,118,105,117,,,,,,8.95,4,10.756
carpk_00098,carpk,vlm,ioc+iom_only+ftile,car,117,10,9,9,,,,,,9.2,4,11.848
carpk_00099,carpk,vlm,ioc+iom_only+ftile,car,85,18,17,18,,,,,,8.2,4,10.586
carpk_00100,carpk,vlm,ioc+iom_only+ftile,car,122,7,4,7,,,,,,6.25,5,11.076
carpk_00101,carpk,vlm,ioc+iom_only+ftile,car,47,5,5,4,,,,,,9.95,4,12.327
carpk_00102,carpk,vlm,ioc+iom_only+ftile,car,146,5,5,3,,,,,,3.95,4,8.248
carpk_00103,carpk,vlm,ioc+iom_only+ftile,car,51,47,43,46,,,,,,8.2,4,10.032
carpk_00104,carpk,vlm,ioc+iom_only+ftile,car,111,117,105,114,,,,,,8.95,4,10.987
carpk_00105,carpk,vlm,ioc+iom_only+ftile,car,120,34,34,33,,,,,,15.85,12,23.233
carpk_00106,carpk,vlm,ioc+iom_only+ftile,car,5,5,4,5,,,,,,8.95,4,10.595
carpk_00107,carpk,vlm,ioc+iom_only+ftile,car,73,27,26,26,,,,,,7.45,4,9.754
carpk_00108,carpk,vlm,ioc+iom_only+ftile,car,114,127,114,121,,,,,,8.95,4,10.84
carpk_00109,carpk,vlm,ioc+iom_only+ftile,car,67,22,22,22,,,,,,10.45,4,11.992
carpk_00110,carpk,vlm,ioc+iom_only+ftile,car,74,12,11,12,,,,,,8.2,4,10.272
carpk_00111,carpk,vlm,ioc+iom_only+ftile,car,119,128,115,122,,,,,,8.95,4,10.801
carpk_00112,carpk,vlm,ioc+iom_only+ftile,car,76,23,21,20,,,,,,12.25,5,15.7
carpk_00113,carpk,vlm,ioc+iom_only+ftile,car,138,12,7,11,,,,,,6.7,4,8.773
carpk_00114,carpk,vlm,ioc+iom_only+ftile,car,11,12,12,11,,,,,,8.95,4,10.573
carpk_00115,carpk,vlm,ioc+iom_only+ftile,car,111,115,97,113,,,,,,8.95,4,11.076
carpk_00116,carpk,vlm,ioc+iom_only+ftile,car,115,17,13,16,,,,,,7.2,4,9.587
carpk_00117,carpk,vlm,ioc+iom_only+ftile,car,132,141,110,139,,,,,,8.95,4,10.692
carpk_00118,carpk,vlm,ioc+iom_only+ftile,car,118,12,9,12,,,,,,7.7,4,11.231
carpk_00119,carpk,vlm,ioc+iom_only+ftile,car,118,128,107,124,,,,,,8.95,4,10.53
carpk_00120,carpk,vlm,ioc+iom_only+ftile,car,3,3,3,3,,,,,,7.9,3,9.19
carpk_00121,carpk,vlm,ioc+iom_only+ftile,car,21,21,21,21,,,,,,8.95,4,10.478
carpk_00122,carpk,vlm,ioc+iom_only+ftile,car,103,2,2,1,,,,,,4.15,3,6.953
carpk_00123,carpk,vlm,ioc+iom_only+ftile,car,21,21,21,21,,,,,,8.95,4,10.682
carpk_00124,carpk,vlm,ioc+iom_only+ftile,car,144,149,117,149,,,,,,8.95,4,11.172
carpk_00125,carpk,vlm,ioc+iom_only+ftile,car,112,119,111,117,,,,,,8.95,4,10.695
carpk_00126,carpk,vlm,ioc+iom_only+ftile,car,112,115,105,111,,,,,,8.95,4,11.116
carpk_00127,carpk,vlm,ioc+iom_only+ftile,car,139,151,131,148,,,,,,8.95,4,10.793
carpk_00128,carpk,vlm,ioc+iom_only+ftile,car,34,9,9,9,,,,,,9.95,4,12.538
carpk_00129,carpk,vlm,ioc+iom_only+ftile,car,183,188,168,187,,,,,,8.95,4,10.85
carpk_00130,carpk,vlm,ioc+iom_only+ftile,car,160,3,3,3,,,,,,7.15,3,8.793
carpk_00131,carpk,vlm,ioc+iom_only+ftile,car,97,2,2,2,,,,,,4.65,3,6.779
carpk_00132,carpk,vlm,ioc+iom_only+ftile,car,98,23,19,22,,,,,,7.45,4,9.523
carpk_00133,carpk,vlm,ioc+iom_only+ftile,car,148,7,6,5,,,,,,3.95,4,8.513
carpk_00134,carpk,vlm,ioc+iom_only+ftile,car,125,133,109,133,,,,,,8.95,4,10.409
carpk_00135,carpk,vlm,ioc+iom_only+ftile,car,106,121,108,118,,,,,,8.95,4,10.866
carpk_00136,carpk,vlm,ioc+iom_only+ftile,car,76,21,18,18,,,,,,7.45,4,10.083
carpk_00137,carpk,vlm,ioc+iom_only+ftile,car,90,19,19,16,,,,,,15.25,5,17.813
carpk_00138,carpk,vlm,ioc+iom_only+ftile,car,139,141,108,141,,,,,,8.95,4,10.989
carpk_00139,carpk,vlm,ioc+iom_only+ftile,car,106,6,6,5,,,,,,6.2,4,9.838
carpk_00140,carpk,vlm,ioc+iom_only+ftile,car,129,136,117,132,,,,,,8.95,4,10.937
carpk_00141,carpk,vlm,ioc+iom_only+ftile,car,159,167,145,164,,,,,,8.95,4,11.137
carpk_00142,carpk,vlm,ioc+iom_only+ftile,car,156,160,133,160,,,,,,8.95,4,10.855
carpk_00143,carpk,vlm,ioc+iom_only+ftile,car,76,21,17,21,,,,,,9.7,4,11.563
carpk_00144,carpk,vlm,ioc+iom_only+ftile,car,120,100,70,100,,,,,,37.05,6,35.809
carpk_00145,carpk,vlm,ioc+iom_only+ftile,car,108,118,97,117,,,,,,8.95,4,10.76
carpk_00146,carpk,vlm,ioc+iom_only+ftile,car,13,14,14,14,,,,,,8.95,4,10.546
carpk_00147,carpk,vlm,ioc+iom_only+ftile,car,75,14,14,14,,,,,,8.2,4,10.328
carpk_00148,carpk,vlm,ioc+iom_only+ftile,car,145,0,0,0,,,,,,13.85,12,21.673
carpk_00149,carpk,vlm,ioc+iom_only+ftile,car,4,4,4,4,,,,,,8.95,4,10.828
carpk_00150,carpk,vlm,ioc+iom_only+ftile,car,82,26,23,26,,,,,,7.45,4,9.611
carpk_00151,carpk,vlm,ioc+iom_only+ftile,car,144,154,123,152,,,,,,8.95,4,10.859
carpk_00152,carpk,vlm,ioc+iom_only+ftile,car,141,6,5,5,,,,,,3.95,4,8.47
carpk_00153,carpk,vlm,ioc+iom_only+ftile,car,76,25,24,24,,,,,,8.2,4,10.468
carpk_00154,carpk,vlm,ioc+iom_only+ftile,car,117,127,109,120,,,,,,8.95,4,11.105
carpk_00155,carpk,vlm,ioc+iom_only+ftile,car,2,13,10,13,,,,,,17.4,8,21.157
carpk_00156,carpk,vlm,ioc+iom_only+ftile,car,117,126,114,125,,,,,,8.95,4,10.948
carpk_00157,carpk,vlm,ioc+iom_only+ftile,car,131,138,126,138,,,,,,8.95,4,11.198
carpk_00158,carpk,vlm,ioc+iom_only+ftile,car,94,10,10,10,,,,,,7.45,4,9.848
carpk_00159,carpk,vlm,ioc+iom_only+ftile,car,131,17,17,17,,,,,,12.2,4,13.876
carpk_00160,carpk,vlm,ioc+iom_only+ftile,car,81,17,16,16,,,,,,7.45,4,9.629
carpk_00161,carpk,vlm,ioc+iom_only+ftile,car,114,116,99,115,,,,,,8.95,4,10.746
carpk_00162,carpk,vlm,ioc+iom_only+ftile,car,141,146,121,145,,,,,,8.95,4,10.792
carpk_00163,carpk,vlm,ioc+iom_only+ftile,car,97,14,13,13,,,,,,11.25,5,15.079
carpk_00164,carpk,vlm,ioc+iom_only+ftile,car,81,19,18,18,,,,,,9.95,4,12.569
carpk_00165,carpk,vlm,ioc+iom_only+ftile,car,117,125,104,121,,,,,,8.95,4,11.11
carpk_00166,carpk,vlm,ioc+iom_only+ftile,car,136,138,123,138,,,,,,8.95,4,10.612
carpk_00167,carpk,vlm,ioc+iom_only+ftile,car,163,169,148,166,,,,,,8.95,4,11.145
carpk_00168,carpk,vlm,ioc+iom_only+ftile,car,37,9,9,9,,,,,,9.95,4,12.288
carpk_00169,carpk,vlm,ioc+iom_only+ftile,car,115,17,16,15,,,,,,7.2,4,9.476
carpk_00170,carpk,vlm,ioc+iom_only+ftile,car,122,125,97,124,,,,,,8.95,4,10.842
carpk_00171,carpk,vlm,ioc+iom_only+ftile,car,52,27,23,27,,,,,,7.45,4,9.599
carpk_00172,carpk,vlm,ioc+iom_only+ftile,car,186,189,158,189,,,,,,8.95,4,11.231
carpk_00173,carpk,vlm,ioc+iom_only+ftile,car,116,17,15,16,,,,,,9.2,4,12.016
carpk_00174,carpk,vlm,ioc+iom_only+ftile,car,73,21,19,20,,,,,,7.45,4,9.649
carpk_00175,carpk,vlm,ioc+iom_only+ftile,car,2,2,1,2,,,,,,8.65,3,9.327
carpk_00176,carpk,vlm,ioc+iom_only+ftile,car,5,5,5,5,,,,,,8.95,4,11.075
carpk_00177,carpk,vlm,ioc+iom_only+ftile,car,111,2,2,2,,,,,,3.65,3,6.81
carpk_00178,carpk,vlm,ioc+iom_only+ftile,car,139,146,126,141,,,,,,8.95,4,10.726
carpk_00179,carpk,vlm,ioc+iom_only+ftile,car,116,14,14,14,,,,,,7.2,4,9.611
carpk_00180,carpk,vlm,ioc+iom_only+ftile,car,99,4,4,4,,,,,,10.7,4,12.796
carpk_00181,carpk,vlm,ioc+iom_only+ftile,car,85,20,19,20,,,,,,8.2,4,10.082
carpk_00182,carpk,vlm,ioc+iom_only+ftile,car,105,2,2,2,,,,,,7.15,3,8.89
carpk_00183,carpk,vlm,ioc+iom_only+ftile,car,118,119,105,118,,,,,,8.95,4,10.954
carpk_00184,carpk,vlm,ioc+iom_only+ftile,car,91,4,4,3,,,,,,9.95,4,12.316
carpk_00185,carpk,vlm,ioc+iom_only+ftile,car,115,122,105,119,,,,,,8.95,4,10.849
carpk_00186,carpk,vlm,ioc+iom_only+ftile,car,122,124,93,123,,,,,,8.95,4,10.9
carpk_00187,carpk,vlm,ioc+iom_only+ftile,car,102,21,17,21,,,,,,8.2,4,10.236
carpk_00188,carpk,vlm,ioc+iom_only+ftile,car,109,116,100,115,,,,,,8.95,4,10.738
carpk_00189,carpk,vlm,ioc+iom_only+ftile,car,17,17,17,17,,,,,,8.2,4,10.277
carpk_00190,carpk,vlm,ioc+iom_only+ftile,car,146,159,133,156,,,,,,8.95,4,10.85
carpk_00191,carpk,vlm,ioc+iom_only+ftile,car,115,126,112,122,,,,,,8.95,4,10.575
carpk_00192,carpk,vlm,ioc+iom_only+ftile,car,83,85,75,83,,,,,,8.95,4,10.598
carpk_00193,carpk,vlm,ioc+iom_only+ftile,car,117,126,116,123,,,,,,8.95,4,10.805
carpk_00194,carpk,vlm,ioc+iom_only+ftile,car,105,0,0,0,,,,,,13.85,12,21.603
carpk_00195,carpk,vlm,ioc+iom_only+ftile,car,109,20,17,16,,,,,,7.45,4,9.531
carpk_00196,carpk,vlm,ioc+iom_only+ftile,car,104,2,2,2,,,,,,7.15,3,9.062
carpk_00197,carpk,vlm,ioc+iom_only+ftile,car,118,119,109,119,,,,,,8.95,4,11.141
carpk_00198,carpk,vlm,ioc+iom_only+ftile,car,71,9,8,9,,,,,,7.45,4,9.537
carpk_00199,carpk,vlm,ioc+iom_only+ftile,car,95,26,22,26,,,,,,9.2,4,12.44
carpk_00200,carpk,vlm,ioc+iom_only+ftile,car,139,12,11,11,,,,,,7.45,4,9.7
carpk_00201,carpk,vlm,ioc+iom_only+ftile,car,118,124,105,122,,,,,,8.95,4,10.887
carpk_00202,carpk,vlm,ioc+iom_only+ftile,car,160,5,5,5,,,,,,3.95,4,8.287
carpk_00203,carpk,vlm,ioc+iom_only+ftile,car,111,116,105,114,,,,,,8.95,4,10.7
carpk_00204,carpk,vlm,ioc+iom_only+ftile,car,127,137,116,133,,,,,,8.95,4,10.795
carpk_00205,carpk,vlm,ioc+iom_only+ftile,car,39,39,37,39,,,,,,8.95,4,10.769
carpk_00206,carpk,vlm,ioc+iom_only+ftile,car,112,115,101,112,,,,,,8.95,4,10.676
carpk_00207,carpk,vlm,ioc+iom_only+ftile,car,129,143,137,140,,,,,,8.95,4,11.105
carpk_00208,carpk,vlm,ioc+iom_only+ftile,car,116,19,17,17,,,,,,11.25,5,14.9
carpk_00209,carpk,vlm,ioc+iom_only+ftile,car,119,124,106,122,,,,,,8.95,4,10.782
carpk_00210,carpk,vlm,ioc+iom_only+ftile,car,103,106,97,105,,,,,,8.95,4,10.803
carpk_00211,carpk,vlm,ioc+iom_only+ftile,car,145,155,127,152,,,,,,8.95,4,10.744
carpk_00212,carpk,vlm,ioc+iom_only+ftile,car,75,15,14,14,,,,,,8.2,4,10.499
carpk_00213,carpk,vlm,ioc+iom_only+ftile,car,52,45,40,43,,,,,,8.2,4,10.045
carpk_00214,carpk,vlm,ioc+iom_only+ftile,car,28,7,7,7,,,,,,9.95,4,12.198
carpk_00215,carpk,vlm,ioc+iom_only+ftile,car,101,1,1,1,,,,,,9.15,3,10.306
carpk_00216,carpk,vlm,ioc+iom_only+ftile,car,141,148,110,144,,,,,,8.95,4,11.06
carpk_00217,carpk,vlm,ioc+iom_only+ftile,car,50,51,45,51,,,,,,8.95,4,10.993
carpk_00218,carpk,vlm,ioc+iom_only+ftile,car,82,26,23,26,,,,,,7.45,4,9.756
carpk_00219,carpk,vlm,ioc+iom_only+ftile,car,155,162,136,161,,,,,,8.95,4,10.898
carpk_00220,carpk,vlm,ioc+iom_only+ftile,car,109,8,8,8,,,,,,5.45,4,9.299
carpk_00221,carpk,vlm,ioc+iom_only+ftile,car,136,1,1,1,,,,,,3.65,3,6.911
carpk_00222,carpk,vlm,ioc+iom_only+ftile,car,127,130,118,130,,,,,,8.95,4,10.919
carpk_00223,carpk,vlm,ioc+iom_only+ftile,car,140,150,136,148,,,,,,8.95,4,10.852
carpk_00224,carpk,vlm,ioc+iom_only+ftile,car,106,108,100,108,,,,,,8.95,4,10.737
carpk_00225,carpk,vlm,ioc+iom_only+ftile,car,127,13,13,13,,,,,,9.2,4,11.996
carpk_00226,carpk,vlm,ioc+iom_only+ftile,car,73,27,25,23,,,,,,7.45,4,10.036
carpk_00227,carpk,vlm,ioc+iom_only+ftile,car,165,175,146,169,,,,,,8.95,4,10.43
carpk_00228,carpk,vlm,ioc+iom_only+ftile,car,30,30,29,30,,,,,,8.95,4,10.933
carpk_00229,carpk,vlm,ioc+iom_only+ftile,car,152,3,3,3,,,,,,3.65,3,6.893
carpk_00230,carpk,vlm,ioc+iom_only+ftile,car,108,5,4,5,,,,,,5.45,4,8.921
carpk_00231,carpk,vlm,ioc+iom_only+ftile,car,114,123,106,122,,,,,,8.95,4,10.926
carpk_00232,carpk,vlm,ioc+iom_only+ftile,car,109,3,3,2,,,,,,7.15,3,8.854
carpk_00233,carpk,vlm,ioc+iom_only+ftile,car,141,145,130,143,,,,,,8.95,4,10.758
carpk_00234,carpk,vlm,ioc+iom_only+ftile,car,154,164,142,162,,,,,,8.95,4,11.37
carpk_00235,carpk,vlm,ioc+iom_only+ftile,car,141,147,115,144,,,,,,8.95,4,10.98
carpk_00236,carpk,vlm,ioc+iom_only+ftile,car,121,2,2,2,,,,,,3.65,3,6.24
carpk_00237,carpk,vlm,ioc+iom_only+ftile,car,118,125,105,124,,,,,,8.95,4,10.955
carpk_00238,carpk,vlm,ioc+iom_only+ftile,car,45,47,47,46,,,,,,8.95,4,10.423
carpk_00239,carpk,vlm,ioc+iom_only+ftile,car,139,141,122,140,,,,,,8.95,4,11.379
carpk_00240,carpk,vlm,ioc+iom_only+ftile,car,81,15,15,14,,,,,,9.95,4,12.487
carpk_00241,carpk,vlm,ioc+iom_only+ftile,car,48,51,45,51,,,,,,8.95,4,12.422
carpk_00242,carpk,vlm,ioc+iom_only+ftile,car,66,66,57,63,,,,,,9.7,4,11.254
carpk_00243,carpk,vlm,ioc+iom_only+ftile,car,161,2,2,2,,,,,,5.15,3,8.059
carpk_00244,carpk,vlm,ioc+iom_only+ftile,car,117,118,112,117,,,,,,8.95,4,11.028
carpk_00245,carpk,vlm,ioc+iom_only+ftile,car,129,0,0,0,,,,,,13.85,12,22.392
carpk_00246,carpk,vlm,ioc+iom_only+ftile,car,112,118,106,115,,,,,,8.95,4,10.707
carpk_00247,carpk,vlm,ioc+iom_only+ftile,car,94,1,1,1,,,,,,4.65,3,7.357
carpk_00248,carpk,vlm,ioc+iom_only+ftile,car,52,30,27,29,,,,,,8.2,4,10.517
carpk_00249,carpk,vlm,ioc+iom_only+ftile,car,52,26,22,26,,,,,,7.45,4,9.886
carpk_00250,carpk,vlm,ioc+iom_only+ftile,car,54,57,54,57,,,,,,8.95,4,10.701
carpk_00251,carpk,vlm,ioc+iom_only+ftile,car,110,114,96,114,,,,,,8.95,4,10.863
carpk_00252,carpk,vlm,ioc+iom_only+ftile,car,83,84,74,84,,,,,,8.95,4,11.045
carpk_00253,carpk,vlm,ioc+iom_only+ftile,car,40,12,12,12,,,,,,9.95,4,12.499
carpk_00254,carpk,vlm,ioc+iom_only+ftile,car,150,159,135,156,,,,,,8.95,4,10.664
carpk_00255,carpk,vlm,ioc+iom_only+ftile,car,132,138,129,136,,,,,,8.95,4,10.675
carpk_00256,carpk,vlm,ioc+iom_only+ftile,car,73,25,24,23,,,,,,7.45,4,9.87
carpk_00257,carpk,vlm,ioc+iom_only+ftile,car,109,118,102,114,,,,,,8.95,4,12.54
carpk_00258,carpk,vlm,ioc+iom_only+ftile,car,62,29,27,28,,,,,,7.45,4,9.821
carpk_00259,carpk,vlm,ioc+iom_only+ftile,car,140,0,0,0,,,,,,13.85,12,22.52
carpk_00260,carpk,vlm,ioc+iom_only+ftile,car,74,22,22,22,,,,,,7.45,4,9.912
